route_id,service_id,trip_id,trip_short_name,direction_id
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5749,5749,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5750,5750,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5751,5751,0
01B_1,chouette:TimeTable:560687d3-4692-4da3-8075-77cc139f7385:LOC,5752,5752,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5753,5753,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5754,5754,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5755,5755,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5756,5756,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5757,5757,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5758,5758,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5759,5759,0
01B_1,chouette:TimeTable:93ec6ff8-acf0-4f5a-a145-556560849350:LOC,5760,5760,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5857,5857,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5858,5858,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5859,5859,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5860,5860,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5861,5861,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5862,5862,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5863,5863,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5864,5864,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5865,5865,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5866,5866,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5867,5867,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5868,5868,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5869,5869,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5870,5870,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5871,5871,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5872,5872,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5873,5873,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5874,5874,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5875,5875,0
NAVF1_1,chouette:TimeTable:8f194df6-721e-4665-b54a-1ce0054dd2ac:LOC,5876,5876,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5877,5877,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5878,5878,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5879,5879,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5880,5880,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5881,5881,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5882,5882,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5883,5883,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5884,5884,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5885,5885,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5886,5886,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5887,5887,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5888,5888,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5889,5889,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5890,5890,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5891,5891,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5892,5892,0
NF1_1,chouette:TimeTable:fa766e08-09cd-4b13-b8e7-990f5a8c23fe:LOC,5893,5893,0
